runName,projectID,lakeID,siteName,dateSample,dateTimeSample,depthClass,depthTop,depthBottom,subsampleClass,subsampleDateTime,runID,runDate,replicate,metadataID,prefix,suffix,comments,substrate,antibiotics,FID_RT,TCD_RT,CH4area,CO2area,CH4ppm,CO2ppm,CH4original_umolL,CO2original_umolL
21_20021401,antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/14/20 11:40,run20021401,2/14/20,2,gc180508,21,20021401,NA,algal,antibiotics,3.434,5.009,225663,73175.8,2206.01865033902,7339.77103879929,91.0381104485578,302.898113030299
22_20021401,antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/14/20 11:40,run20021401,2/14/20,3,gc180508,22,20021401,NA,algal,antibiotics,3.436,5.008,179984,94928.8,1766.51930199585,9573.35391514724,72.9008248864497,395.07374561696
23_20021401,antibioticTrial-4Feb2020,PL,DeepHole,2/4/20,2/4/20 14:00,lab,NA,NA,methSlurry,2/14/20 11:40,run20021401,2/14/20,4,gc180508,23,20021401,NA,algal,antibiotics,3.433,5.008,208472,71852.2,2040.6158766932,7203.86471345869,84.2122588296914,297.289522615565
24_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,air,2/14/20 0:00,run20021401,2/14/20,3,gc180508,24,20021401,NA,NA,NA,NA,5.022,0,5140.60596,0,353.96474096664,0,14.6074382363286
25_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,standard034,2/14/20 0:00,run20021401,2/14/20,2,gc180508,25,20021401,NA,NA,NA,3.438,5.017,2420.39063,3547.48682,58.0955053370515,190.384378208116,0,0
26_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,standard035,2/14/20 0:00,run20021401,2/14/20,2,gc180508,26,20021401,NA,NA,NA,3.436,5.017,1671.96277,10457.5,50.8945255268132,899.899714676033,0,0
27_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,standard036,2/14/20 0:00,run20021401,2/14/20,2,gc180508,27,20021401,NA,NA,NA,3.435,5.011,54461,53673.1,558.802918053983,5337.2473978049,0,0
28_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,standard037,2/14/20 0:00,run20021401,2/14/20,2,gc180508,28,20021401,NA,NA,NA,3.432,5.006,298253,83488.4,2904.44150758701,8398.66161805851,0,0
29_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,standard038,2/14/20 0:00,run20021401,2/14/20,2,gc180508,29,20021401,NA,NA,NA,3.41,4.996,4628470,146484,44567.5153420522,14867.0059128806,0,0
30_20021401,antibioticTrial-4Feb2020,NA,NA,2/14/20,2/14/20 0:00,NA,NA,NA,air,2/14/20 0:00,run20021401,2/14/20,4,gc180508,30,20021401,NA,NA,NA,NA,5.019,0,5106.05518,0,350.41709096101,0,14.4610336023534
